Size;Cost;Stdev
1000;446,081;323,9755011
2000;875,648;628,9572692
3000;1302,024333;926,5044083
4000;1706,24825;1182,279253
5000;2190,835;1529,0693
6000;2625,0705;1843,563841
7000;2968,018143;2102,292215
8000;3481,92275;2438,881687
9000;3854,948778;2704,056832
10000;4289,8062;3036,21624
11000;4659,014727;3275,627903
12000;5158,074083;3651,145532
13000;5563,090615;3899,609341
14000;6124,049571;4385,595765
15000;6499,5534;4614,78322
16000;6911,039875;4883,790928
17000;7417,111235;5264,554199
18000;7791,234889;5463,78945
19000;8259,098842;5846,314754
20000;8545,34165;6040,713138
21000;9143,925333;6498,953652
22000;9550,735136;6749,508635
23000;9940,677957;7029,89671
24000;10335,29296;7354,209121
25000;10747,46356;7562,101309
26000;11290,16504;7934,159139
27000;11604,95522;8196,717837
28000;12169,95389;8657,086935
29000;12580,62376;8927,130539
30000;12866,48547;9074,818555
31000;13506,29352;9560,394845
32000;13710,41341;9631,85308
33000;14205,93088;10054,91382
34000;14787,07979;10501,27655
35000;15107,11683;10700,61238
36000;15621,00594;11075,60762
37000;16109,31419;11439,8149
38000;16467,65463;11653,5206
39000;16859,07287;11991,64599
40000;17333,98455;12235,67917
41000;17770,69707;12513,16663
42000;18086,25419;12837,61608
43000;18644,0926;13147,61335
44000;19078,64505;13473,27857
45000;19299,80329;13660,65433
46000;19892,35589;14104,00241
47000;20240,73234;14408,93895
48000;20883,66615;14830,38039
49000;21094,37467;14988,15491
50000;21543,62294;15216,95339
