Size;Cost;Stdev
1000;1,299;0,529402203
2000;1,327;0,518598362
3000;1,344333333;0,670850029
4000;3,32925;2,629616979
5000;1,421;0,710516643
6000;1,794833333;0,962111135
7000;1,321428571;0,565886143
8000;4,41275;2,802083932
9000;1,126333333;0,380844929
10000;1,5471;0,753502747
11000;1,169272727;0,426456379
12000;1,990666667;1,018288117
13000;1,201538462;0,454356985
14000;1,373714286;0,586600975
15000;1,166266667;0,407277173
16000;4,980625;2,856472464
17000;1,619235294;0,83032715
18000;1,123944444;0,371377707
19000;1,434;0,646577591
20000;1,60515;0,775430647
21000;1,096428571;0,349955546
22000;1,262409091;0,519456835
23000;1,260652174;0,500295231
24000;1,908625;0,972564999
25000;1,13144;0,379066208
26000;1,314269231;0,546542229
27000;1,162925926;0,438207414
28000;1,277964286;0,531232275
29000;1,077448276;0,322731182
30000;1,151866667;0,395693468
31000;1,312129032;0,590026618
32000;4,2468125;2,580478373
33000;1,376151515;0,578487746
34000;1,567705882;0,770678534
35000;1,327457143;0,598114274
36000;1,068888889;0,29848662
37000;1,112918919;0,359466761
38000;1,389342105;0,599504114
39000;1,180871795;0,432448866
40000;1,551125;0,753587861
41000;1,952170732;1,085194282
42000;1,228095238;0,498853695
43000;1,154767442;0,415337519
44000;1,226590909;0,494240563
45000;1,137155556;0,394875374
46000;1,652978261;0,853551769
47000;1,546617021;0,803297896
48000;2,315729167;1,258760731
49000;1,253714286;0,525215982
50000;1,43876;0,68118927
