"Size","Cost","Stdev"
"1000","446.081","323.9755011149198"
"2000","875.648","628.9572692426774"
"3000","1302.0243333333333","926.5044082571206"
"4000","1706.24825","1182.2792528224381"
"5000","2190.835","1529.0692997249341"
"6000","2625.0705","1843.5638407203016"
"7000","2968.0181428571427","2102.2922147220156"
"8000","3481.92275","2438.881686523749"
"9000","3854.9487777777777","2704.05683232959"
"10000","4289.8062","3036.2162398716146"
"11000","4659.014727272727","3275.6279031835184"
"12000","5158.074083333333","3651.1455320722057"
"13000","5563.090615384615","3899.609341221804"
"14000","6124.049571428572","4385.595765022368"
"15000","6499.5534","4614.783220220029"
"16000","6911.039875","4883.790927695518"
"17000","7417.111235294117","5264.5541990183765"
"18000","7791.234888888889","5463.789450369802"
"19000","8259.098842105263","5846.314753604435"
"20000","8545.34165","6040.713138349683"
"21000","9143.925333333333","6498.9536515483915"
"22000","9550.735136363637","6749.508634881838"
"23000","9940.677956521738","7029.896710317489"
"24000","10335.292958333333","7354.20912092187"
"25000","10747.46356","7562.101308629763"
"26000","11290.165038461539","7934.159138900676"
"27000","11604.955222222223","8196.717837000426"
"28000","12169.953892857144","8657.086935417545"
"29000","12580.62375862069","8927.130538567199"
"30000","12866.485466666667","9074.81855451125"
"31000","13506.293516129032","9560.394844748318"
"32000","13710.41340625","9631.853079632026"
"33000","14205.930878787878","10054.913820107007"
"34000","14787.079794117648","10501.276551544035"
"35000","15107.116828571428","10700.612377682377"
"36000","15621.005944444445","11075.607619894181"
"37000","16109.31418918919","11439.814895379512"
"38000","16467.654631578946","11653.52059570906"
"39000","16859.072871794873","11991.645985751202"
"40000","17333.98455","12235.67916680806"
"41000","17770.697073170733","12513.166631149266"
"42000","18086.25419047619","12837.61608313682"
"43000","18644.092604651163","13147.613352376613"
"44000","19078.645045454545","13473.278565947983"
"45000","19299.80328888889","13660.654326616233"
"46000","19892.35589130435","14104.002409336063"
"47000","20240.732340425533","14408.938946815737"
"48000","20883.666145833333","14830.38039441694"
"49000","21094.37467346939","14988.154910875599"
"50000","21543.62294","15216.953391560237"
